71,Henderson,Nevada,265679,257729,107.732 sq mi,36.0122N 115.0375W
72,Lincoln,Nebraska,265404,258379,89.114 sq mi,40.8090N 96.6804W
73,Buffalo,New York,259384,261310,40.384 sq mi,42.8925N 78.8597W
74,Fort Wayne,Indiana,254555,253691,110.618 sq mi,41.0882N 85.1439W
75,Jersey City,New Jersey,254441,247597,14.794 sq mi,40.7114N 74.0648W
76,Chula Vista,California,252422,243916,49.631 sq mi,32.6277N 117.0152W
77,Orlando,Florida,249562,238300,102.395 sq mi,28.4159N 81.2988W
78,St. Petersburg,Florida,246541,244769,61.742 sq mi,27.7620N 82.6441W
79,Norfolk,Virginia,245782,242803,54.120 sq mi,36.9230N 76.2446W
80,Chandler,Arizona,245628,236123,64.413 sq mi,33.2829N 111.8549W
81,Laredo,Texas,244731,236091,88.908 sq mi,27.5477N 99.4869W
82,Madison,Wisconsin,240323,233209,76.789 sq mi,43.0878N 89.4301W
83,Durham,North Carolina,239358,228330,107.370 sq mi,35.9810N 78.9056W
84,Lubbock,Texas,236065,229573,122.410 sq mi,33.5665N 101.8867W
85,Winston?Salem,North Carolina,234349,229617,132.449 sq mi,36.1033N 80.2606W
86,Garland,Texas,233564,226876,57.085 sq mi,32.9098N 96.6304W
87,Glendale,Arizona,232143,226721,59.976 sq mi,33.5331N 112.1899W
88,Hialeah,Florida,231941,224669,21.450 sq mi,25.8699N 80.3029W
89,Reno,Nevada,231027,225221,103.009 sq mi,39.4745N 119.7765W
90,Baton Rouge,Louisiana,230058,229493,76.947 sq mi,30.4485N 91.1259W
91,Irvine,California,229985,212375,66.106 sq mi,33.6784N 117.7713W
92,Chesapeake,Virginia,228417,222209,340.800 sq mi,36.6794N 76.3018W
93,Irving,Texas,225427,216290,67.017 sq mi,32.8577N 96.9700W
94,Scottsdale,Arizona,223514,217385,183.920 sq mi,33.6687N 111.8237W
95,North Las Vegas,Nevada,223491,216961,101.345 sq mi,36.2830N 115.0893W
96,Fremont,California,221986,214089,77.459 sq mi,37.4944N 121.9411W
97,Gilbert,Arizona,221140,208453,67.963 sq mi,33.3102N 111.7422W
98,San Bernardino,California,213295,209924,59.201 sq mi,34.1393N 117.2953W
99,Boise,Idaho,212303,205671,79.364 sq mi,43.5985N 116.2311W
100,Birmingham,Alabama,212038,212237,146.067 sq mi,33.5274N 86.7990W
101,Rochester,New York,210532,210565,35.781 sq mi,43.1699N 77.6169W
102,Richmond,Virginia,210309,204214,59.805 sq mi,37.5314N 77.4760W
103,Spokane,Washington,209525,208916,59.247 sq mi,47.6736N 117.4166W
104,Des Moines,Iowa,206688,203433,80.869 sq mi,41.5739N 93.6167W
105,Montgomery,Alabama,205293,205764,159.565 sq mi,32.3463N 86.2686W
106,Modesto,California,203547,201165,36.867 sq mi,37.6609N 120.9891W
107,Fayetteville,North Carolina,202103,200564,145.845 sq mi,35.0851N 78.9803W
108,Tacoma,Washington,202010,198397,49.721 sq mi,47.2522N 122.4598W
109,Shreveport,Louisiana,201867,199311,105.375 sq mi,32.4670N 93.7927W
110,Fontana,California,201812,196069,42.432 sq mi,34.1088N 117.4627W
111,Oxnard,California,201555,197899,26.894 sq mi,34.2023N 119.2046W
112,Aurora,Illinois,199932,197899,44.936 sq mi,41.7635N 88.2901W
113,Moreno Valley,California,199552,193365,51.275 sq mi,33.9233N 117.2057W
114,Akron,Ohio,198549,199110,62.033 sq mi,41.0805N 81.5214W
115,Yonkers,New York,198449,195976,18.012 sq mi,40.9459N 73.8674W
116,Columbus,Georgia,198413,189885,216.385 sq mi,32.5102N 84.8749W
117,Augusta,Georgia,197872,195844,302.474 sq mi,33.3655N 82.0734W
118,Little Rock,Arkansas,196537,193524,119.200 sq mi,34.7254N 92.3586W
119,Amarillo,Texas,195250,190695,99.476 sq mi,35.1978N 101.8287W
120,Mobile,Alabama,194822,195111,139.109 sq mi,30.6684N 88.1002W
121,Huntington Beach,California,194708,189992,26.748 sq mi,33.6906N 118.0093W
122,Glendale,California,194478,191719,30.453 sq mi,34.1814N 118.2458W
123,Grand Rapids,Michigan,190411,188040,44.395 sq mi,42.9612N 85.6556W
124,Salt Lake City,Utah,189314,186440,111.110 sq mi,40.7785N 111.9314W
125,Tallahassee,Florida,186971,181376,100.247 sq mi,30.4551N 84.2534W
126,Huntsville,Alabama,183739,180105,209.054 sq mi,34.7843N 86.5390W
127,Worcester,Massachusetts,182669,181045,37.371 sq mi,42.2695N 71.8078W
128,Knoxville,Tennessee,182200,178874,98.521 sq mi,35.9709N 83.9465W
129,Grand Prairie,Texas,181824,175396,72.105 sq mi,32.6842N 97.0210W
130,Newport News,Virginia,180726,180719,68.714 sq mi,37.0760N 76.5217W
131,Brownsville,Texas,180097,175023,132.330 sq mi,26.0183N 97.4538W
132,Santa Clarita,California,179013,176320,52.716 sq mi,34.4049N 118.5047W
133,Overland Park,Kansas,178919,173372,74.841 sq mi,38.8890N 94.6906W
134,Providence,Rhode Island,178432,178042,18.400 sq mi,41.8231N 71.4188W
135,Jackson,Mississippi,175437,173514,111.046 sq mi,32.3158N 90.2128W
136,Garden Grove,California,174389,170883,17.941 sq mi,33.7788N 117.9605W
137,Oceanside,California,171293,167086,41.235 sq mi,33.2246N 117.3062W
138,Chattanooga,Tennessee,171279,167674,137.152 sq mi,35.0665N 85.2471W
139,Fort Lauderdale,Florida,170747,165521,34.765 sq mi,26.1413N 80.1439W
140,Rancho Cucamonga,California,170746,165269,39.851 sq mi,34.1233N 117.5642W
141,Santa Rosa,California,170685,167815,41.294 sq mi,38.4468N 122.7061W
142,Port St. Lucie,Florida,168716,164603,113.953 sq mi,27.2810N 80.3838W
143,Ontario,California,167211,163924,49.941 sq mi,34.0395N 117.6088W
144,Tempe,Arizona,166842,161719,39.929 sq mi,33.3884N 111.9318W
145,Vancouver,Washington,165489,161791,46.456 sq mi,45.6372N 122.5965W
146,Springfield,Missouri,162191,159498,81.720 sq mi,37.1942N 93.2913W
147,Cape Coral,Florida,161248,154305,105.673 sq mi,26.6431N 81.9973W
148,Pembroke Pines,Florida,160306,154019,33.124 sq mi,26.0212N 80.3404W
149,Sioux Falls,South Dakota,159908,153888,72.964 sq mi,43.5383N 96.7320W
150,Peoria,Arizona,159789,154065,174.404 sq mi,33.7877N 112.3111W
151,Lancaster,California,159055,156633,94.276 sq mi,34.6936N 118.1753W
152,Elk Grove,California,159038,153015,42.190 sq mi,38.4144N 121.3849W
153,Corona,California,158391,152374,38.825 sq mi,33.8624N 117.5639W
154,Eugene,Oregon,157986,156185,43.723 sq mi,44.0567N 123.1162W
155,Salem,Oregon,157429,154637,47.896 sq mi,44.9237N 123.0231W
156,Palmdale,California,155650,152750,105.961 sq mi,34.5913N 118.1090W
157,Salinas,California,154484,150441,23.179 sq mi,36.6902N 121.6337W
158,Springfield,Massachusetts,153552,153060,31.865 sq mi,42.1155N 72.5400W
159,Pasadena,Texas,152272,149043,42.762 sq mi,29.6583N 95.1505W
160,Rockford,Illinois,150843,152871,61.081 sq mi,42.2634N 89.0628W
161,Pomona,California,150812,149058,22.952 sq mi,34.0586N 117.7613W
162,Hayward,California,149392,144186,45.323 sq mi,37.6281N 122.1063W
163,Fort Collins,Colorado,148612,143986,54.277 sq mi,40.5482N 105.0648W
164,Joliet,Illinois,148268,147433,62.114 sq mi,41.5181N 88.1584W
165,Escondido,California,147575,143911,36.813 sq mi,33.1336N 117.0732W
166,Kansas City,Kansas,147268,145786,124.810 sq mi,39.1225N 94.7418W
167,Torrance,California,147027,145438,20.478 sq mi,33.8350N 118.3414W
168,Bridgeport,Connecticut,146425,144229,15.974 sq mi,41.1874N 73.1957W
169,Alexandria,Virginia,146294,139966,15.027 sq mi,38.8183N 77.0820W
170,Sunnyvale,California,146197,140081,21.987 sq mi,37.3858N 122.0263W
171,Cary,North Carolina,145693,135234,54.345 sq mi,35.7821N 78.8141W
172,Lakewood,Colorado,145516,142980,42.880 sq mi,39.6989N 105.1176W
173,Hollywood,Florida,145236,140768,27.366 sq mi,26.0311N 80.1646W
174,Paterson,New Jersey,145219,146199,8.428 sq mi,40.9147N 74.1628W
175,Syracuse,New York,144170,145170,25.043 sq mi,43.0410N 76.1436W
176,Naperville,Illinois,143684,141853,38.769 sq mi,41.7492N 88.1620W
177,McKinney,Texas,143223,131117,62.209 sq mi,33.2012N 96.6680W
178,Mesquite,Texas,143195,139824,46.021 sq mi,32.7639N 96.5924W
179,Clarksville,Tennessee,142519,132929,97.603 sq mi,36.5664N 87.3452W
180,Savannah,Georgia,142022,136286,103.151 sq mi,32.0025N 81.1536W
181,Dayton,Ohio,141359,141527,55.652 sq mi,39.7774N 84.1996W
182,Orange,California,139419,136416,24.797 sq mi,33.8048N 117.8249W
183,Fullerton,California,138574,135161,22.353 sq mi,33.8857N 117.9280W
